Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
122013A,Proserpine River at Glen Isla,29/11/2021 7:53,0.32,<0.01,1.1,<0.02,3.4,<0.02,0.4,<0.02,2.3,0.4,1.3,0.31,0.15,0.79,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,0.36,<0.05
122013A,Proserpine River at Glen Isla,29/11/2021 17:01,0.21,<0.01,2.6,<0.02,3.1,<0.02,0.32,<0.02,2.5,0.52,1.1,0.21,0.06,0.86,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,0.23,<0.05
122013A,Proserpine River at Glen Isla,30/11/2021 6:21,0.24,<0.01,2.3,<0.02,2.1,<0.02,0.19,<0.02,1.9,0.45,1,0.13,0.04,0.68,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,0.16,<0.05
122013A,Proserpine River at Glen Isla,30/11/2021 11:51,0.14,<0.01,2.4,<0.02,2,<0.02,0.21,<0.02,1.8,0.46,1,0.12,0.03,0.68,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,0.16,<0.05
122013A,Proserpine River at Glen Isla,1/12/2021 7:01,0.53,<0.01,2.7,<0.02,2.3,<0.02,0.29,0.02,2.7,0.74,1.2,0.29,0.11,1,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,0.16,<0.05
122013A,Proserpine River at Glen Isla,1/12/2021 12:31,0.28,<0.01,2.3,<0.02,1.9,<0.02,0.26,<0.02,2.2,0.55,1.1,0.19,0.06,0.83,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,0.16,<0.05
122013A,Proserpine River at Glen Isla,29/12/2021 21:57,2.3,<0.01,3.2,<0.02,5,<0.02,1,0.04,3.8,0.99,2,0.2,0.83,0.47,0.09,<0.02,<0.02,<0.02,0.01,<0.01,0.18,<0.1
122013A,Proserpine River at Glen Isla,30/12/2021 8:54,0.62,<0.01,1.6,<0.02,3.3,<0.02,0.73,<0.02,3.4,0.77,1.4,0.3,0.23,0.54,0.05,<0.02,<0.02,<0.02,<0.01,<0.01,0.12,<0.1
122013A,Proserpine River at Glen Isla,31/12/2021 12:05,0.61,0.01,1.2,<0.02,2.3,<0.02,0.7,<0.02,2,0.77,2.1,0.2,0.38,0.41,0.03,<0.02,<0.02,<0.02,<0.01,<0.01,0.06,<0.1
122013A,Proserpine River at Glen Isla,5/1/2022 8:49,0.07,<0.01,0.78,<0.02,0.77,<0.02,0.23,<0.02,1.2,0.32,0.43,0.11,0.04,0.16,0.03,<0.02,<0.02,<0.02,<0.01,<0.01,0.01,<0.05
122013A,Proserpine River at Glen Isla,20/1/2022 8:19,<0.02,<0.01,0.29,<0.02,0.37,<0.02,0.06,<0.02,0.63,0.14,0.15,0.06,<0.01,0.08,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,0.01,<0.05
